date,high,low,close
9/18/2017,"1,586.82","1,578.31","1,582.78"
6/16/2015,"1,585.80","1,548.68","1,582.23"
2/22/2017,"1,593.88","1,578.55","1,582.13"
5/28/2018,"1,598.35","1,577.43","1,581.52"
7/21/2017,"1,597.45","1,574.70","1,581.37"
7/27/2015,"1,608.06","1,581.07","1,581.33"
3/3/2017,"1,585.61","1,573.99","1,581.32"
8/8/2017,"1,583.14","1,571.36","1,581.32"
3/23/2017,"1,581.57","1,560.84","1,581.28"
4/27/2018,"1,583.11","1,571.49","1,580.78"
3/2/2017,"1,594.46","1,578.27","1,580.53"
7/23/2018,"1,584.94","1,573.79","1,580.50"
4/1/2019,"1,580.98","1,554.92","1,580.33"
3/1/2019,"1,585.58","1,573.86","1,580.22"
7/26/2017,"1,581.52","1,565.02","1,580.22"
9/12/2017,"1,581.13","1,572.13","1,580.13"
3/28/2017,"1,581.30","1,567.85","1,580.09"
9/13/2017,"1,580.90","1,575.76","1,580.04"
1/2/2018,"1,583.38","1,573.76","1,579.82"
3/24/2017,"1,582.04","1,573.07","1,579.70"
7/20/2018,"1,589.89","1,569.50","1,579.40"
2/4/2015,"1,596.27","1,574.00","1,579.31"
9/15/2017,"1,591.32","1,577.29","1,578.87"
3/8/2017,"1,583.22","1,574.21","1,578.23"
3/13/2018,"1,603.34","1,575.23","1,578.15"
7/18/2019,"1,600.22","1,573.55","1,577.41"
2/23/2018,"1,580.14","1,567.95","1,577.11"
5/4/2018,"1,577.82","1,565.61","1,577.08"
12/29/2017,"1,591.58","1,573.56","1,576.94"
3/22/2019,"1,610.37","1,576.87","1,576.87"
2/27/2019,"1,583.17","1,573.24","1,576.55"
2/20/2017,"1,582.78","1,572.58","1,576.33"
2/16/2017,"1,580.99","1,572.27","1,576.33"
2/2/2015,"1,579.02","1,567.63","1,575.95"
3/7/2017,"1,578.25","1,567.59","1,575.77"
3/6/2017,"1,581.29","1,571.06","1,575.52"
7/1/2015,"1,582.10","1,546.42","1,575.50"
8/7/2017,"1,578.88","1,569.43","1,575.47"
4/24/2018,"1,593.10","1,571.41","1,575.40"
2/21/2018,"1,577.74","1,557.71","1,575.12"
8/12/2015,"1,604.03","1,573.12","1,575.04"
4/12/2017,"1,585.45","1,571.02","1,575.02"
3/27/2017,"1,578.31","1,556.45","1,574.51"
6/10/2019,"1,584.20","1,569.32","1,574.48"
3/26/2019,"1,576.03","1,565.50","1,574.16"
2/15/2017,"1,577.73","1,568.17","1,574.02"
2/22/2018,"1,575.16","1,556.50","1,573.88"
5/13/2019,"1,603.24","1,572.85","1,573.84"
4/26/2018,"1,575.23","1,552.02","1,573.76"
3/25/2019,"1,578.63","1,563.23","1,573.66"
1/30/2015,"1,582.10","1,572.55","1,573.62"
3/16/2018,"1,593.43","1,572.58","1,573.48"
8/4/2017,"1,577.61","1,556.68","1,573.47"
4/21/2017,"1,578.26","1,567.48","1,573.25"
4/13/2017,"1,575.85","1,567.41","1,572.81"
3/13/2019,"1,574.20","1,561.18","1,572.80"
2/28/2019,"1,577.42","1,558.05","1,572.68"
2/21/2019,"1,591.26","1,572.65","1,572.65"
3/6/2019,"1,588.06","1,571.46","1,572.63"
4/20/2018,"1,576.98","1,556.89","1,572.58"
4/10/2017,"1,572.61","1,566.05","1,572.47"
5/29/2018,"1,579.50","1,554.94","1,572.30"
6/20/2018,"1,582.27","1,564.01","1,572.29"
6/12/2018,"1,577.04","1,566.71","1,572.27"
2/13/2017,"1,572.53","1,563.08","1,572.18"
9/11/2017,"1,573.34","1,552.78","1,572.16"
5/24/2019,"1,579.12","1,563.18","1,571.52"
